marker,university,spanish_level,gender,mother_tongue,n,tokens_total,per_1k,spanish_level_bucket
de hecho,Universita degli Studi di Palermo,B2,F,it,2,9519,0.21010610358230908,upper
de hecho,Universita degli Studi di Palermo,B2,M,it,4,1321,3.028009084027252,upper
de hecho,Universita degli Studi di Palermo,C1,M,it,1,650,1.5384615384615385,upper
de hecho,Univerza v Ljubljani,B2,F,sl,2,17595,0.11366865586814436,upper
de hecho,Univerza v Ljubljani,C1,F,sl,1,13120,0.07621951219512195,upper
de hecho,Vrije Universiteit Brussel,B1,M,en,1,475,2.1052631578947367,lower
de hecho,Vrije Universiteit Brussel,C2,F,es,4,4875,0.8205128205128205,upper
de hecho,Vrije Universiteit Brussel,C2,M,es,1,2277,0.43917435221783047,upper
de todas formas,Universita degli Studi di Palermo,C1,M,it,1,650,1.5384615384615385,upper
de todos modos,Univerza v Ljubljani,B2,F,sl,1,17595,0.05683432793407218,upper
de verdad,Universidad de Sevilla,C2,M,es,5,833,6.002400960384153,upper
de verdad,Universita degli Studi di Palermo,B2,F,it,7,9519,0.7353713625380818,upper
de verdad,Universita degli Studi di Palermo,C1,F,it,1,1837,0.5443658138268916,upper
de verdad,Univerza v Ljubljani,B2,F,sl,22,17595,1.250355214549588,upper
de verdad,Univerza v Ljubljani,C1,F,sl,15,13120,1.1432926829268293,upper
de verdad,Univerza v Ljubljani,C1,M,mk,1,459,2.178649237472767,upper
de verdad,Univerza v Ljubljani,C2,F,sl,4,659,6.0698027314112295,upper
de verdad,Vrije Universiteit Brussel,B1,F,nl,4,4082,0.9799118079372856,lower
de verdad,Vrije Universiteit Brussel,B2,F,fr,3,1468,2.043596730245232,upper
de verdad,Vrije Universiteit Brussel,C2,F,es,1,4875,0.20512820512820512,upper
definitivamente,Univerza v Ljubljani,B2,F,sl,4,17595,0.2273373117362887,upper
desde luego,Universidad de Sevilla,C2,F,es,1,2332,0.4288164665523156,upper
desde luego,Vrije Universiteit Brussel,C2,M,es,2,2277,0.8783487044356609,upper
digamos,Universita degli Studi di Palermo,B2,F,it,5,9519,0.5252652589557727,upper
digamos,Universita degli Studi di Palermo,B2,M,it,5,1321,3.785011355034065,upper
digamos,Universita degli Studi di Palermo,C1,F,it,16,1837,8.709853021230266,upper
digamos,Univerza v Ljubljani,B2,F,sl,3,17595,0.17050298380221654,upper
digamos,Univerza v Ljubljani,B2,F,sr,4,376,10.638297872340425,upper
digamos,Univerza v Ljubljani,C1,F,sl,6,13120,0.4573170731707317,upper
digamos,Vrije Universiteit Brussel,C2,F,es,3,4875,0.6153846153846154,upper
en cambio,Universita degli Studi di Palermo,B1,F,it,1,4299,0.23261223540358222,lower
en cambio,Universita degli Studi di Palermo,B2,F,it,1,9519,0.10505305179115454,upper
en ese sentido,Universidad de Sevilla,C2,F,es,1,2332,0.4288164665523156,upper
en ese sentido,Univerza v Ljubljani,C2,M,es,1,1217,0.8216926869350862,upper
en ese sentido,Vrije Universiteit Brussel,C2,M,es,1,2277,0.43917435221783047,upper
en fin,Univerza v Ljubljani,C2,M,es,1,1217,0.8216926869350862,upper
en general,Universita degli Studi di Palermo,B1,F,it,3,4299,0.6978367062107467,lower
en general,Universita degli Studi di Palermo,B2,F,it,4,9519,0.42021220716461816,upper
en general,Universita degli Studi di Palermo,B2,M,it,5,1321,3.785011355034065,upper
en general,Universita degli Studi di Palermo,C1,F,it,1,1837,0.5443658138268916,upper
en general,Univerza v Ljubljani,B1,F,sl,1,1000,1.0,lower
en general,Univerza v Ljubljani,B2,F,sl,7,17595,0.39784029553850525,upper
en general,Univerza v Ljubljani,C1,F,sl,6,13120,0.4573170731707317,upper
en general,Univerza v Ljubljani,C2,M,es,1,1217,0.8216926869350862,upper
en general,Vrije Universiteit Brussel,B1,F,nl,5,4082,1.224889759921607,lower
en general,Vrije Universiteit Brussel,C2,F,es,5,4875,1.0256410256410255,upper
en general,Vrije Universiteit Brussel,C2,M,es,2,2277,0.8783487044356609,upper
en particular,Universita degli Studi di Palermo,B2,F,it,2,9519,0.21010610358230908,upper
en realidad,Universita degli Studi di Palermo,B1,F,it,4,4299,0.9304489416143289,lower
en realidad,Universita degli Studi di Palermo,B2,F,it,5,9519,0.5252652589557727,upper
en realidad,Universita degli Studi di Palermo,C1,F,it,3,1837,1.633097441480675,upper
en realidad,Univerza v Ljubljani,B2,F,sl,3,17595,0.17050298380221654,upper
en realidad,Univerza v Ljubljani,C1,F,sl,14,13120,1.0670731707317074,upper
en realidad,Univerza v Ljubljani,C2,F,es,1,2942,0.3399048266485384,upper
en realidad,Vrije Universiteit Brussel,B1,M,nl,1,1582,0.6321112515802781,lower
en realidad,Vrije Universiteit Brussel,B2,F,fr,2,1468,1.3623978201634876,upper
en realidad,Vrije Universiteit Brussel,C1,F,es,1,429,2.331002331002331,upper
en realidad,Vrije Universiteit Brussel,C2,F,es,4,4875,0.8205128205128205,upper
en verdad,Universidad de Sevilla,C2,M,es,1,833,1.2004801920768307,upper
en verdad,Universita degli Studi di Palermo,B1,F,it,1,4299,0.23261223540358222,lower
en verdad,Univerza v Ljubljani,C1,F,sl,1,13120,0.07621951219512195,upper
en verdad,Univerza v Ljubljani,C2,F,es,1,2942,0.3399048266485384,upper
en verdad,Vrije Universiteit Brussel,B1,F,ro,2,535,3.7383177570093458,lower
entonces,Universidad de Sevilla,C2,F,es,5,2332,2.144082332761578,upper
entonces,Universidad de Sevilla,C2,M,es,9,833,10.804321728691477,upper
entonces,Universita degli Studi di Palermo,B1,F,it,2,4299,0.46522447080716445,lower
entonces,Universita degli Studi di Palermo,B2,F,it,48,9519,5.042546485975418,upper
entonces,Universita degli Studi di Palermo,B2,M,it,7,1321,5.299015897047691,upper
entonces,Universita degli Studi di Palermo,C1,F,it,1,1837,0.5443658138268916,upper
entonces,Universita degli Studi di Palermo,C1,M,it,1,650,1.5384615384615385,upper
entonces,Univerza v Ljubljani,B2,F,it,1,414,2.4154589371980677,upper
entonces,Univerza v Ljubljani,B2,F,sl,45,17595,2.557544757033248,upper
entonces,Univerza v Ljubljani,C1,F,sl,13,13120,0.9908536585365854,upper
